;Entidad Federativa;Sexo;Salario;Año;Trimestre
442;Veracruz de Ignacio de la Llave;Hombres;5974.29;2006;Trimestre III
443;Veracruz de Ignacio de la Llave;Mujeres;4805.12;2006;Trimestre III
444;Yucatán;Hombres;6801.67;2006;Trimestre III
445;Yucatán;Mujeres;4345.49;2006;Trimestre III
446;Zacatecas;Hombres;5572.13;2006;Trimestre III
447;Zacatecas;Mujeres;4194.33;2006;Trimestre III
448;Aguascalientes;Hombres;7987.73;2006;Trimestre IV
449;Aguascalientes;Mujeres;5509.05;2006;Trimestre IV
450;Baja California;Hombres;11642.13;2006;Trimestre IV
451;Baja California;Mujeres;8729.69;2006;Trimestre IV
452;Baja California Sur;Hombres;12697.49;2006;Trimestre IV
453;Baja California Sur;Mujeres;9388.77;2006;Trimestre IV
454;Campeche;Hombres;7047.55;2006;Trimestre IV
455;Campeche;Mujeres;4975.07;2006;Trimestre IV
456;Coahuila de Zaragoza;Hombres;8874.56;2006;Trimestre IV
457;Coahuila de Zaragoza;Mujeres;6601.04;2006;Trimestre IV
458;Colima;Hombres;9281.55;2006;Trimestre IV
459;Colima;Mujeres;5714.5;2006;Trimestre IV
460;Chiapas;Hombres;3732.44;2006;Trimestre IV
461;Chiapas;Mujeres;3660.68;2006;Trimestre IV
462;Chihuahua;Hombres;9278.14;2006;Trimestre IV
463;Chihuahua;Mujeres;7727.51;2006;Trimestre IV
